,cust,grade,var2,startDate,mev,t,y
1,1,0,1,11,0.079218942,1,1
2,1,0,1,11,0.119778052,2,1
3,1,0,1,11,0.063930914,3,0
4,1,0,1,11,0.09913488,4,0
5,1,0,1,11,0.087239818,5,0
6,1,0,1,11,0.126009458,6,0
7,1,0,1,11,0.104675091,7,0
8,1,0,1,11,0.129934099,8,0
9,1,0,1,11,0.114350436,9,0
10,1,0,1,11,0.091919437,10,1
11,1,0,1,11,0.069520562,11,2
12,1,0,1,11,0.041068105,12,1
13,1,0,1,11,0.069115221,13,2
14,1,0,1,11,0.062268341,14,3
15,1,0,1,11,0.044327899,15,3
16,1,0,1,11,0.067619079,16,3
17,1,0,1,11,-0.001336646,17,3
18,1,0,1,11,0.048175366,18,3
19,1,0,1,11,0.034053705,19,3
20,1,0,1,11,0.012927202,20,3
21,1,0,1,11,-0.007198288,21,3
22,1,0,1,11,-0.010109425,22,3
23,1,0,1,11,-0.038738391,23,3
24,1,0,1,11,-0.045119976,24,3
25,2,1,0,22,0.041068105,1,0
26,2,1,0,22,0.069115221,2,0
27,2,1,0,22,0.062268341,3,2
28,2,1,0,22,0.044327899,4,1
29,2,1,0,22,0.067619079,5,0
30,2,1,0,22,-0.001336646,6,0
31,2,1,0,22,0.048175366,7,1
32,2,1,0,22,0.034053705,8,0
33,2,1,0,22,0.012927202,9,0
34,2,1,0,22,-0.007198288,10,0
35,2,1,0,22,-0.010109425,11,2
36,2,1,0,22,-0.038738391,12,1
37,2,1,0,22,-0.045119976,13,1
38,2,1,0,22,-0.066389741,14,0
39,2,1,0,22,-0.064726224,15,0
40,2,1,0,22,-0.027185522,16,0
41,2,1,0,22,-0.044895287,17,2
42,2,1,0,22,-0.112117994,18,2
43,2,1,0,22,-0.074101481,19,2
44,2,1,0,22,-0.077881323,20,1
45,2,1,0,22,-0.052400836,21,1
46,2,1,0,22,-0.075776832,22,1
47,2,1,0,22,-0.087017249,23,2
48,2,1,0,22,-0.101875464,24,2
49,3,1,0,46,-0.075573143,1,0
50,3,1,0,46,-0.07858576,2,0
51,3,1,0,46,-0.0948774,3,1
52,3,1,0,46,-0.12369186,4,0
53,3,1,0,46,-0.070007353,5,0
54,3,1,0,46,-0.083274636,6,1
55,3,1,0,46,-0.095068039,7,1
56,3,1,0,46,-0.050840948,8,1
57,3,1,0,46,-0.035215358,9,1
58,3,1,0,46,-0.081453823,10,1
59,3,1,0,46,-0.075573347,11,2
60,3,1,0,46,-0.036749616,12,2
61,3,1,0,46,-0.041142962,13,1
62,3,1,0,46,-0.03514297,14,0
63,3,1,0,46,-0.018016791,15,0
64,3,1,0,46,-0.009129653,16,0
65,3,1,0,46,-0.004576848,17,0
66,3,1,0,46,0.004624149,18,0
67,3,1,0,46,-0.016159525,19,0
68,3,1,0,46,0.055962477,20,1
69,3,1,0,46,0.089494826,21,1
70,3,1,0,46,0.041902981,22,0
71,3,1,0,46,0.062655696,23,1
72,3,1,0,46,0.081160125,24,1
73,4,1,1,10,0.072745767,1,1
74,4,1,1,10,0.079218942,2,1
75,4,1,1,10,0.119778052,3,0
76,4,1,1,10,0.063930914,4,0
77,4,1,1,10,0.09913488,5,1
78,4,1,1,10,0.087239818,6,0
79,4,1,1,10,0.126009458,7,2
80,4,1,1,10,0.104675091,8,2
81,4,1,1,10,0.129934099,9,1
82,4,1,1,10,0.114350436,10,0
83,4,1,1,10,0.091919437,11,1
84,4,1,1,10,0.069520562,12,1
85,4,1,1,10,0.041068105,13,0
86,4,1,1,10,0.069115221,14,2
87,4,1,1,10,0.062268341,15,2
88,4,1,1,10,0.044327899,16,1
89,4,1,1,10,0.067619079,17,0
90,4,1,1,10,-0.001336646,18,1
91,4,1,1,10,0.048175366,19,0
92,4,1,1,10,0.034053705,20,0
93,4,1,1,10,0.012927202,21,0
94,4,1,1,10,-0.007198288,22,1
95,4,1,1,10,-0.010109425,23,0
96,4,1,1,10,-0.038738391,24,1
97,5,1,0,25,0.044327899,1,0
98,5,1,0,25,0.067619079,2,1
99,5,1,0,25,-0.001336646,3,1
100,5,1,0,25,0.048175366,4,1
101,5,1,0,25,0.034053705,5,0
102,5,1,0,25,0.012927202,6,1
103,5,1,0,25,-0.007198288,7,1
104,5,1,0,25,-0.010109425,8,1
105,5,1,0,25,-0.038738391,9,0
106,5,1,0,25,-0.045119976,10,0
107,5,1,0,25,-0.066389741,11,0
108,5,1,0,25,-0.064726224,12,2
109,5,1,0,25,-0.027185522,13,1
110,5,1,0,25,-0.044895287,14,0
111,5,1,0,25,-0.112117994,15,2
112,5,1,0,25,-0.074101481,16,1
113,5,1,0,25,-0.077881323,17,0
114,5,1,0,25,-0.052400836,18,0
115,5,1,0,25,-0.075776832,19,0
116,5,1,0,25,-0.087017249,20,1
117,5,1,0,25,-0.101875464,21,0
118,5,1,0,25,-0.075573143,22,0
119,5,1,0,25,-0.07858576,23,0
120,5,1,0,25,-0.0948774,24,0
121,6,1,0,27,-0.001336646,1,2
122,6,1,0,27,0.048175366,2,1
123,6,1,0,27,0.034053705,3,0
124,6,1,0,27,0.012927202,4,0
125,6,1,0,27,-0.007198288,5,0
126,6,1,0,27,-0.010109425,6,2
127,6,1,0,27,-0.038738391,7,2
128,6,1,0,27,-0.045119976,8,2
129,6,1,0,27,-0.066389741,9,2
130,6,1,0,27,-0.064726224,10,2
131,6,1,0,27,-0.027185522,11,2
132,6,1,0,27,-0.044895287,12,2
133,6,1,0,27,-0.112117994,13,3
134,6,1,0,27,-0.074101481,14,2
135,6,1,0,27,-0.077881323,15,1
136,6,1,0,27,-0.052400836,16,0
137,6,1,0,27,-0.075776832,17,1
138,6,1,0,27,-0.087017249,18,1
139,6,1,0,27,-0.101875464,19,0
140,6,1,0,27,-0.075573143,20,0
141,6,1,0,27,-0.07858576,21,1
142,6,1,0,27,-0.0948774,22,1
143,6,1,0,27,-0.12369186,23,1
144,6,1,0,27,-0.070007353,24,0
145,7,1,0,26,0.067619079,1,0
146,7,1,0,26,-0.001336646,2,1
147,7,1,0,26,0.048175366,3,3
148,7,1,0,26,0.034053705,4,1
149,7,1,0,26,0.012927202,5,1
150,7,1,0,26,-0.007198288,6,1
151,7,1,0,26,-0.010109425,7,1
152,7,1,0,26,-0.038738391,8,3
153,7,1,0,26,-0.045119976,9,2
154,7,1,0,26,-0.066389741,10,0
155,7,1,0,26,-0.064726224,11,1
156,7,1,0,26,-0.027185522,12,1
157,7,1,0,26,-0.044895287,13,2
158,7,1,0,26,-0.112117994,14,0
159,7,1,0,26,-0.074101481,15,1
160,7,1,0,26,-0.077881323,16,0
161,7,1,0,26,-0.052400836,17,0
162,7,1,0,26,-0.075776832,18,0
163,7,1,0,26,-0.087017249,19,0
164,7,1,0,26,-0.101875464,20,1
165,7,1,0,26,-0.075573143,21,0
166,7,1,0,26,-0.07858576,22,0
167,7,1,0,26,-0.0948774,23,0
168,7,1,0,26,-0.12369186,24,1
169,8,1,0,20,0.091919437,1,1
170,8,1,0,20,0.069520562,2,0
171,8,1,0,20,0.041068105,3,1
172,8,1,0,20,0.069115221,4,0
173,8,1,0,20,0.062268341,5,0
174,8,1,0,20,0.044327899,6,1
175,8,1,0,20,0.067619079,7,2
176,8,1,0,20,-0.001336646,8,2
177,8,1,0,20,0.048175366,9,1
178,8,1,0,20,0.034053705,10,1
179,8,1,0,20,0.012927202,11,1
180,8,1,0,20,-0.007198288,12,0
181,8,1,0,20,-0.010109425,13,2
182,8,1,0,20,-0.038738391,14,2
183,8,1,0,20,-0.045119976,15,2
184,8,1,0,20,-0.066389741,16,2
185,8,1,0,20,-0.064726224,17,3
